sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-59740.22919080986,2941,2263,570,465,0.25,26,26
-26212.379778331546,4620,4253,510,75,0.5,54,54
114311.38474405848,4686,5915,510,0,0.75,77,80
133306.69139240892,4753,6807,510,0,1,95,104
-5655.028241355696,2361,2263,605,465,0.25,26,26
35709.59970856028,3505,4253,531,75,0.5,54,54
91821.91067105561,4061,5915,510,0,0.75,78,80
91622.21335369634,4141,6807,510,0,1,96,104
62.56041489068775,2528,2263,588,465,0.25,26,26
93500.27804280396,3671,4253,531,75,0.5,54,54
177041.73021046224,4245,5915,531,0,0.75,77,80
135861.34709951424,4593,6807,510,0,1,95,104
11390.92665493158,2456,2263,588,465,0.25,26,26
5976.315011392073,3282,4253,531,75,0.5,54,54
99967.09486443331,4110,5915,531,0,0.75,77,80
111524.05405160965,4168,6807,531,0,1,95,104
-86322.6904096005,2713,2263,588,465,0.25,26,26
71347.06245290134,3449,4253,510,75,0.5,54,54
56945.80908551832,4306,5915,510,0,0.75,79,80
72348.06225504272,4323,6807,510,0,1,97,104
3876.539118295729,2626,2263,570,465,0.25,26,26
-27447.829870693586,3172,4253,551,75,0.5,54,54
102901.25644063888,4159,5915,551,0,0.75,79,80
116303.08883633405,4159,6807,551,0,1,97,104
19656.389000724856,2427,2263,588,465,0.25,26,26
-24894.019538283002,3800,4253,531,75,0.5,54,54
46310.708968045335,4076,5915,531,0,0.75,78,80
39852.03423221905,4236,6807,531,0,1,96,104
-126773.32179677651,2263,2263,588,465,0.25,26,26
80973.92808695481,3261,4253,531,75,0.5,54,54
74747.73252556837,3590,5915,531,0,0.75,78,80
75248.50056504252,3809,6807,531,0,1,96,104
-42553.30361679046,2655,2263,570,465,0.25,26,26
27400.318838906533,3586,4253,551,75,0.5,54,54
68402.95043230889,3754,5915,551,0,0.75,78,80
44061.126337551024,4172,6807,551,0,1,96,104
-23267.430509088997,2912,2263,510,465,0.25,26,26
8261.079481367844,3465,4253,510,75,0.5,54,54
77482.14565962613,3930,5915,510,0,0.75,78,80
4926.726980816561,4566,6807,510,0,1,96,104
-21373.25122569502,2692,2263,551,465,0.25,26,26
-28551.071047376296,3501,4253,531,75,0.5,54,54
146242.9141742971,4491,5915,510,0,0.75,78,80
156654.9756108623,4546,6807,510,0,1,96,104
-31321.274474316524,2563,2263,551,465,0.25,26,26
71295.24205098447,3537,4253,510,75,0.5,54,54
182214.92383810543,3921,5915,510,0,0.75,78,80
192156.80590453715,4093,6807,510,0,1,96,104
1273.3438047128366,2677,2263,570,465,0.25,26,26
7128.505523252819,3134,4253,531,75,0.5,54,54
98945.90994359418,4179,5915,488,0,0.75,78,80
106919.2905623094,4254,6807,488,0,1,96,104
18546.465494431235,2525,2263,551,465,0.25,26,26
36140.75286791682,3629,4253,510,75,0.5,54,54
98168.91323229964,3966,5915,510,0,0.75,78,80
117500.7633937427,3966,6807,510,0,1,96,104
-38531.86264468837,2754,2263,551,465,0.25,26,26
-68474.62963306217,3909,4253,510,75,0.5,54,54
26300.53823414421,4635,5915,510,0,0.75,78,80
15100.977456238683,4795,6807,510,0,1,96,104
11036.692344534993,2608,2263,570,465,0.25,26,26
-68776.18519094284,3661,4253,510,75,0.5,54,54
54804.76532594045,3739,5915,510,0,0.75,80,80
60580.54371947641,4362,6807,510,0,1,98,104
-25648.098137904923,2667,2263,588,465,0.25,26,26
-100703.43921047583,4165,4253,551,75,0.5,54,54
59263.682382572726,4524,5915,531,0,0.75,79,80
79316.78862930369,4556,6807,531,0,1,97,104
-31552.448093445062,2395,2263,551,465,0.25,26,26
-56252.46819416472,2945,4253,551,75,0.5,54,54
-26578.83877288348,3701,5915,551,0,0.75,79,80
-22245.0843499956,3830,6807,551,0,1,97,104
2965.583989042886,2918,2263,551,465,0.25,26,26
-21254.40055890173,3815,4253,510,75,0.5,54,54
107402.00946279969,4403,5915,510,0,0.75,77,80
130237.37450669172,4403,6807,510,0,1,95,104
-32026.527746716343,2442,2263,570,465,0.25,26,26
22081.20549127937,3277,4253,551,75,0.5,54,54
59715.66963686366,3780,5915,551,0,0.75,78,80
