sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-60040.48371520957,2723,2263,551,465,0.25,26,26
-5471.477989998164,3826,4253,390,75,0.5,54,54
272074.62112954614,5007,5915,390,0,0.75,80,80
250930.80961688026,5391,6807,390,0,1,99,104
-4968.710655552912,2723,2263,531,465,0.25,26,26
54800.277102324486,3898,4253,416,75,0.5,54,54
162036.73306764656,4236,5915,390,0,0.75,80,80
97809.98617135837,4678,6807,390,0,1,98,104
80584.88539768617,2449,2263,551,465,0.25,26,26
1322.2240221487355,3844,4253,363,75,0.5,54,54
249572.22914583742,4660,5915,335,0,0.75,80,80
321702.21035019227,4751,6807,335,0,1,98,104
-3479.2294799575197,2194,2263,551,465,0.25,26,26
23297.52882964871,3547,4253,363,75,0.5,54,54
106957.80306897314,4519,5915,363,0,0.75,80,80
114259.95896327768,4772,6807,363,0,1,98,104
25930.839240294907,2351,2263,531,465,0.25,26,26
49756.9724771364,3595,4253,390,75,0.5,54,54
84074.36940866978,4499,5915,363,0,0.75,80,80
214881.34202457487,4629,6807,363,0,1,99,104
-68271.6169324145,2228,2263,588,465,0.25,26,26
38171.91079760865,3622,4253,390,75,0.5,54,54
162429.67399960183,4781,5915,390,0,0.75,80,80
111499.2834756881,5069,6807,390,0,1,99,104
-67440.23587453358,2093,2263,570,465,0.25,26,26
210554.69056414373,3669,4253,416,75,0.5,54,54
201611.6760712729,4949,5915,390,0,0.75,80,80
223033.0034398342,5028,6807,390,0,1,99,104
-36159.42165808921,2034,2263,570,465,0.25,26,26
60895.63741312029,3687,4253,416,75,0.5,54,54
150557.97906992468,4386,5915,390,0,0.75,80,80
108936.29658234413,5109,6807,390,0,1,100,104
-14334.059779669918,2594,2263,551,465,0.25,26,26
52971.60063951885,3758,4253,416,75,0.5,54,54
174217.18984479562,4507,5915,416,0,0.75,80,80
141054.00060819573,4996,6807,416,0,1,100,104
-29769.52097007387,1875,2263,588,465,0.25,26,26
3027.408425253393,3668,4253,416,75,0.5,54,54
32706.500190254337,4604,5915,390,0,0.75,80,80
108047.93676929257,4944,6807,390,0,1,101,104
68485.96299449891,2818,2263,570,465,0.25,26,26
208061.0657884725,4470,4253,390,75,0.5,54,54
235439.02147341604,4885,5915,390,0,0.75,80,80
181934.55039551618,5034,6807,390,0,1,99,104
-43610.4348437931,2758,2263,570,465,0.25,26,26
-73501.20461800603,3883,4253,390,75,0.5,54,54
239608.77763946014,4884,5915,363,0,0.75,80,80
281220.53414450714,4920,6807,363,0,1,99,104
-56030.05785988032,2274,2263,588,465,0.25,26,26
67596.11009340997,3778,4253,363,75,0.5,54,54
118987.25088971989,4489,5915,363,0,0.75,80,80
160750.3416493418,4976,6807,363,0,1,100,104
-96104.22565201411,2315,2263,551,465,0.25,26,26
65788.31644980607,3506,4253,416,75,0.5,54,54
162171.3153889639,4435,5915,390,0,0.75,80,80
176108.7537421986,4989,6807,390,0,1,101,104
-44292.68699290148,2151,2263,551,465,0.25,26,26
7809.492925856323,3952,4253,441,75,0.5,54,54
164918.98738955817,5135,5915,416,0,0.75,80,80
176768.76468922044,5332,6807,416,0,1,99,104
-2064.796081362838,2077,2263,588,465,0.25,26,26
42660.87143035917,3074,4253,416,75,0.5,54,54
103389.41848375491,4207,5915,390,0,0.75,80,80
80681.23967227452,4867,6807,390,0,1,99,104
26249.408325480937,2222,2263,570,465,0.25,26,26
-27220.81310626129,3768,4253,416,75,0.5,54,54
98094.76484081135,4193,5915,390,0,0.75,80,80
406380.23426025896,5421,6807,363,0,1,102,104
-17511.083952257803,2166,2263,604,465,0.25,26,26
155151.53469118383,3894,4253,441,75,0.5,54,54
204606.449061931,4638,5915,416,0,0.75,80,80
185194.92975121332,4781,6807,416,0,1,98,104
4179.286183019076,2357,2263,570,465,0.25,26,26
31074.072675306896,3694,4253,390,75,0.5,54,54
151611.015112381,4898,5915,390,0,0.75,80,80
168477.06684743395,5319,6807,390,0,1,99,104
-33800.1037923109,2540,2263,551,465,0.25,26,26
-64909.36140952866,3849,4253,441,75,0.5,54,54
125484.72565780504,4232,5915,416,0,0.75,80,80
101043.71057200436,4757,6807,416,0,1,99,104
-7136.493583546892,2168,2263,551,465,0.25,26,26
305.17753502314736,3702,4253,416,75,0.5,54,54
161603.8515889469,4342,5915,416,0,0.75,80,80
178672.32385968187,5147,6807,390,0,1,100,104
-28561.975853608095,2074,2263,551,465,0.25,26,26
110150.485610783,3478,4253,416,75,0.5,54,54
120757.78576427112,4205,5915,416,0,0.75,80,80
90190.95646960693,4513,6807,416,0,1,98,104
-37587.21321221882,2532,2263,510,465,0.25,26,26
34835.44360016416,3588,4253,390,75,0.5,54,54
135370.33497327383,4332,5915,390,0,0.75,80,80
80190.53133098519,5096,6807,390,0,1,100,104
-37727.04918108929,2654,2263,510,465,0.25,26,26
88507.42169785386,3998,4253,390,75,0.5,54,54
211831.21699386512,4686,5915,390,0,0.75,80,80
223393.3998456617,5135,6807,363,0,1,99,104
-28454.281175085787,2337,2263,551,465,0.25,26,26
100898.28487626875,3553,4253,390,75,0.5,54,54
203899.67620738043,4414,5915,390,0,0.75,80,80
195536.97738170883,4595,6807,390,0,1,97,104
-45438.01749386477,2088,2263,570,465,0.25,26,26
-57124.30449254234,3788,4253,390,75,0.5,54,54
144773.48180740594,4363,5915,390,0,0.75,80,80
125718.85114527211,4806,6807,390,0,1,98,104
-42696.485359001395,2101,2263,588,465,0.25,26,26
-2226.454418183039,3507,4253,416,75,0.5,54,54
96098.83310405235,4508,5915,416,0,0.75,80,80
197648.481432719,5373,6807,390,0,1,100,104
-78824.05869165451,2551,2263,531,465,0.25,26,26
88524.59251586313,3553,4253,390,75,0.5,54,54
319180.0278885366,4150,5915,390,0,0.75,80,80
291520.7988187802,4361,6807,390,0,1,98,104
-75483.18245706696,2703,2263,551,465,0.25,26,26
58217.27140366395,3643,4253,390,75,0.5,54,54
260264.99065771236,4164,5915,390,0,0.75,80,80
281574.0650786887,4276,6807,390,0,1,99,104
-18234.983551125224,2451,2263,588,465,0.25,26,26
16866.59447366209,3917,4253,390,75,0.5,54,54
122497.65435698786,4607,5915,390,0,0.75,80,80
130372.05061900565,4873,6807,416,0,1,100,104
-21931.490137447345,2420,2263,551,465,0.25,26,26
70867.29987381725,4011,4253,416,75,0.5,54,54
98858.52972172643,4847,5915,416,0,0.75,80,80
194879.32922633443,5161,6807,390,0,1,99,104
-2810.633647884725,2201,2263,551,465,0.25,26,26
116600.76900622377,3630,4253,390,75,0.5,54,54
197541.6851195258,4541,5915,416,0,0.75,80,80
203332.76158015005,5022,6807,416,0,1,99,104
