sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
2053.9285663899245,2476,2263,465,465,0.25,26,26
114512.38505572628,4229,4253,111,75,0.5,54,54
405478.65081648214,5310,5915,0,0,0.75,80,80
384386.4590477191,6095,6807,0,0,1,99,104
-24561.436945087306,2522,2263,465,465,0.25,26,26
16661.46401524691,4371,4253,146,75,0.5,54,54
521897.15193520905,5176,5915,0,0,0.75,80,80
213373.37796126268,6525,6807,0,0,1,100,104
-33076.894875827755,2440,2263,488,465,0.25,26,26
-42847.492950534805,4352,4253,75,75,0.5,54,54
332971.70547033224,5177,5915,0,0,0.75,80,80
301794.089418554,6032,6807,0,0,1,99,104
27316.347297074797,2674,2263,465,465,0.25,26,26
125287.84800468554,4642,4253,146,75,0.5,54,54
340928.53118512064,5680,5915,75,0,0.75,80,80
505428.04247757734,6275,6807,0,0,1,99,104
38941.44400052565,2067,2263,531,465,0.25,26,26
193325.71149563807,4046,4253,111,75,0.5,54,54
361533.92829174094,5322,5915,0,0,0.75,80,80
319488.17368930276,6077,6807,0,0,1,102,104
1669.8963248683276,2343,2263,510,465,0.25,26,26
94366.30027334411,4079,4253,180,75,0.5,54,54
303408.9782171395,5253,5915,0,0,0.75,80,80
572903.5115640989,5962,6807,0,0,1,100,104
-67097.59855390084,2542,2263,531,465,0.25,26,26
231963.25330597744,4564,4253,180,75,0.5,54,54
548268.074598083,5494,5915,75,0,0.75,80,80
605303.7100266322,6065,6807,0,0,1,99,104
-23404.625207236662,2251,2263,510,465,0.25,26,26
-6017.166538237386,4078,4253,245,75,0.5,54,54
365083.574685064,5242,5915,38,0,0.75,80,80
407852.6989667138,5857,6807,0,0,1,99,104
-90096.02329496082,2488,2263,551,465,0.25,26,26
70901.70062855484,4515,4253,111,75,0.5,54,54
313061.58452147787,5262,5915,38,0,0.75,80,80
321952.171854995,5940,6807,0,0,1,98,104
-60105.089496118286,2462,2263,488,465,0.25,26,26
45004.88913292739,4403,4253,180,75,0.5,54,54
326025.36795253836,5232,5915,38,0,0.75,80,80
339384.6585415473,5707,6807,0,0,1,99,104
-71759.82292948444,2521,2263,488,465,0.25,26,26
180124.45742889761,4314,4253,111,75,0.5,54,54
210427.81641003728,5473,5915,38,0,0.75,80,80
270750.6167452982,6040,6807,0,0,1,99,104
-56351.543527096735,2497,2263,465,465,0.25,26,26
74076.23733340211,4263,4253,146,75,0.5,54,54
390972.042833058,5396,5915,0,0,0.75,80,80
346090.82607398176,6086,6807,0,0,1,100,104
-5816.239547230965,2196,2263,510,465,0.25,26,26
209912.688841117,4120,4253,146,75,0.5,54,54
236766.02258702548,5375,5915,0,0,0.75,80,80
219026.73870490034,5979,6807,0,0,1,100,104
-27379.46521661522,2667,2263,510,465,0.25,26,26
375981.23732835683,4210,4253,111,75,0.5,54,54
591829.0982121914,5523,5915,0,0,0.75,80,80
774594.821278645,6012,6807,0,0,1,101,104
-32119.740715180265,2371,2263,531,465,0.25,26,26
78248.1076692378,3948,4253,180,75,0.5,54,54
337491.74739461625,5128,5915,38,0,0.75,80,80
405102.06718389306,5975,6807,0,0,1,100,104
-31630.631011986734,2378,2263,531,465,0.25,26,26
255608.33320186147,4025,4253,146,75,0.5,54,54
530656.9173241991,5534,5915,0,0,0.75,80,80
438710.6239311758,6307,6807,0,0,1,99,104
2763.3471369110057,2591,2263,488,465,0.25,26,26
136372.20164888975,4176,4253,180,75,0.5,54,54
430645.0726105583,5413,5915,0,0,0.75,80,80
267350.17104788584,6319,6807,0,0,1,100,104
-104195.27091670023,2751,2263,531,465,0.25,26,26
14617.277745847936,4335,4253,146,75,0.5,54,54
318555.57905558683,5690,5915,38,0,0.75,80,80
295112.7486603421,6463,6807,0,0,1,100,104
-6010.820418661398,2674,2263,465,465,0.25,26,26
-36690.8597485026,4584,4253,146,75,0.5,54,54
345476.1136282319,5747,5915,0,0,0.75,80,80
254967.01533301992,6193,6807,0,0,1,98,104
35807.88254861446,2336,2263,510,465,0.25,26,26
44725.011854220014,4206,4253,213,75,0.5,54,54
303109.6414939669,5199,5915,38,0,0.75,80,80
336797.96945358446,5704,6807,0,0,1,99,104
21499.62695670425,2572,2263,510,465,0.25,26,26
97610.09581260908,4038,4253,276,75,0.5,54,54
421704.58570022404,5411,5915,38,0,0.75,80,80
554972.1311659351,6247,6807,0,0,1,100,104
-13511.68113574843,2150,2263,510,465,0.25,26,26
299767.995472147,4312,4253,75,75,0.5,54,54
520006.769093514,5373,5915,0,0,0.75,80,80
429952.14621434157,6082,6807,0,0,1,100,104
-31063.181062381715,2315,2263,551,465,0.25,26,26
279765.20155774197,3848,4253,146,75,0.5,54,54
423596.09430223197,5605,5915,0,0,0.75,80,80
348407.82404827676,6121,6807,0,0,1,101,104
-9958.2200583289,2293,2263,488,465,0.25,26,26
-6831.553312258284,3746,4253,213,75,0.5,54,54
215601.1229838436,5049,5915,38,0,0.75,80,80
440085.7813351469,5805,6807,0,0,1,100,104
-90276.13398550537,2592,2263,531,465,0.25,26,26
65898.39017785908,4354,4253,146,75,0.5,54,54
263720.46800687816,5196,5915,75,0,0.75,80,80
581817.6694716273,5947,6807,0,0,1,98,104
-105378.31763960606,2416,2263,510,465,0.25,26,26
33357.170710153514,4452,4253,146,75,0.5,54,54
485236.76355257124,5617,5915,0,0,0.75,80,80
425818.0073824704,6404,6807,0,0,1,100,104
-9709.247998095136,2125,2263,531,465,0.25,26,26
152364.34940473837,3794,4253,180,75,0.5,54,54
226579.19404617668,5217,5915,38,0,0.75,80,80
353954.21483275277,5598,6807,0,0,1,98,104
-40909.34289902911,2460,2263,531,465,0.25,26,26
124477.64963331204,4311,4253,146,75,0.5,54,54
484766.2961244085,5357,5915,0,0,0.75,80,80
413127.5633418545,5918,6807,0,0,1,98,104
-50890.79273535212,2278,2263,510,465,0.25,26,26
35666.45487660957,4150,4253,146,75,0.5,54,54
321712.32617122476,5439,5915,0,0,0.75,80,80
320838.10196004156,6180,6807,0,0,1,101,104
1397.841045415401,2464,2263,510,465,0.25,26,26
126071.7737307098,4251,4253,213,75,0.5,54,54
445766.0116258985,5880,5915,0,0,0.75,80,80
433050.6365663987,6348,6807,0,0,1,99,104
-43536.646219838854,2387,2263,531,465,0.25,26,26
178909.24623472933,4275,4253,180,75,0.5,54,54
325150.707644471,5548,5915,38,0,0.75,80,80
298826.5155716456,6092,6807,0,0,1,98,104
-34423.92566720383,2510,2263,531,465,0.25,26,26
336605.4828001674,4416,4253,146,75,0.5,54,54
474512.45577080833,5452,5915,0,0,0.75,80,80
491702.068715164,6024,6807,0,0,1,97,104
-25229.477395529102,2507,2263,488,465,0.25,26,26
-22404.781901802024,3930,4253,213,75,0.5,54,54
150609.86968882772,4934,5915,75,0,0.75,80,80
198865.15858381428,6008,6807,0,0,1,101,104
-13986.787013728554,2326,2263,531,465,0.25,26,26
108113.26406663084,4537,4253,146,75,0.5,54,54
406138.78158307134,5690,5915,0,0,0.75,80,80
294372.3327195707,6078,6807,0,0,1,98,104
-82322.8796119134,2695,2263,551,465,0.25,26,26
-22250.392457838392,4293,4253,213,75,0.5,54,54
292775.0644462903,5635,5915,0,0,0.75,80,80
244022.85255432752,6174,6807,0,0,1,100,104
31661.249740044754,2278,2263,488,465,0.25,26,26
179072.6810134944,4457,4253,180,75,0.5,54,54
322828.3515429627,5568,5915,0,0,0.75,80,80
319309.08399111766,6320,6807,0,0,1,100,104
-23756.965767809153,2413,2263,510,465,0.25,26,26
14601.792786032622,4188,4253,146,75,0.5,54,54
216862.01220332648,5475,5915,75,0,0.75,80,80
273574.623400265,6162,6807,0,0,1,100,104
-45464.62236921038,2536,2263,465,465,0.25,26,26
194324.77966007625,4388,4253,146,75,0.5,54,54
