sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
0.0,2325,1486,663,696,0.25,18,18
29439.10530905843,4217,3487,488,551,0.5,43,43
98741.27127242828,4500,5124,465,335,0.75,47,70
169024.79501148846,4477,6807,465,0,1,46,104
6760.792664965094,1659,1486,675,696,0.25,18,18
-8874.619546152217,3455,3487,551,551,0.5,43,43
-8570.16731155209,3859,5124,551,335,0.75,49,70
43922.89133119663,4137,6807,531,0,1,50,104
12792.370157307498,1988,1486,675,696,0.25,18,18
63831.575174625315,4078,3487,510,551,0.5,43,43
87838.23704273028,4229,5124,510,335,0.75,47,70
119987.56058651477,4249,6807,510,0,1,49,104
4620.586000467386,1754,1486,686,696,0.25,18,18
-1888.693572793973,3704,3487,531,551,0.5,43,43
41514.45620140298,4141,5124,531,335,0.75,47,70
84789.25667529454,4095,6807,531,0,1,48,104
-76.09487238850807,1994,1486,696,696,0.25,18,18
34892.26254392382,3457,3487,570,551,0.5,43,43
75082.77019868638,4097,5124,551,335,0.75,50,70
128506.27295413773,4017,6807,531,0,1,50,104
3359.589326694211,1892,1486,696,696,0.25,18,18
28230.07664756138,4023,3487,531,551,0.5,42,43
1379.5043471015042,4499,5124,510,335,0.75,44,70
17682.717636519934,4647,6807,510,0,1,47,104
-3608.297198834606,1674,1486,696,696,0.25,18,18
7088.865811094159,4677,3487,551,551,0.5,43,43
30188.44695534613,4815,5124,531,335,0.75,48,70
105117.56101614947,4802,6807,531,0,1,47,104
15011.669292186987,1970,1486,686,696,0.25,18,18
14291.103839091851,4455,3487,551,551,0.5,43,43
31116.433381597057,5030,5124,531,335,0.75,48,70
43403.23182899718,5007,6807,531,0,1,49,104
-2176.029196098505,2045,1486,675,696,0.25,18,18
8145.888538600374,4093,3487,531,551,0.5,43,43
-852.933743541962,4740,5124,488,335,0.75,46,70
33239.86875288141,4887,6807,488,0,1,48,104
8129.460815789798,1950,1486,663,696,0.25,18,18
7880.829041188391,4031,3487,531,551,0.5,43,43
30006.84915181903,4721,5124,488,335,0.75,48,70
86321.79264803042,4813,6807,488,0,1,49,104
-3410.0317404991033,2093,1486,686,696,0.25,18,18
25450.38518323581,4587,3487,510,551,0.5,43,43
75835.43473090159,5087,5124,488,335,0.75,50,70
122127.35030667696,5163,6807,488,0,1,50,104
1377.5846896804737,2061,1486,686,696,0.25,18,18
5199.889261410483,4583,3487,551,551,0.5,43,43
33318.05992503083,4708,5124,531,335,0.75,45,70
49878.821320975716,4646,6807,531,0,1,47,104
9285.584522203708,1853,1486,686,696,0.25,18,18
3543.0723565274857,4156,3487,531,551,0.5,43,43
23017.630722232483,4695,5124,510,335,0.75,47,70
37071.95672454098,4896,6807,510,0,1,49,104
4785.5633336480905,2390,1486,686,696,0.25,18,18
21533.956377960545,4385,3487,531,551,0.5,43,43
54548.30251188529,4773,5124,510,335,0.75,48,70
125655.86351212667,4610,6807,510,0,1,48,104
9465.677283024495,2182,1486,675,696,0.25,18,18
40219.067839314455,4426,3487,531,551,0.5,43,43
110104.23030978204,4716,5124,510,335,0.75,46,70
105550.97880756624,4981,6807,510,0,1,49,104
-855.614077078305,2034,1486,696,696,0.25,18,18
6941.858425616968,4540,3487,551,551,0.5,43,43
6291.641730861067,4871,5124,510,335,0.75,49,70
23036.227015189637,4852,6807,531,0,1,50,104
1820.5432210191984,2692,1486,675,696,0.25,18,18
49443.38966126908,4436,3487,510,551,0.5,43,43
87315.19712570669,4198,5124,510,335,0.75,47,70
90526.8142319235,4220,6807,510,0,1,46,104
-399.9486795157045,2371,1486,686,696,0.25,18,18
-8527.782833455229,4117,3487,570,551,0.5,43,43
33205.35538705749,5124,5124,510,335,0.75,48,70
49038.1887494105,5012,6807,510,0,1,47,104
1754.1151566278932,1966,1486,686,696,0.25,18,18
33495.59601111617,4395,3487,531,551,0.5,43,43
84719.68679027061,4960,5124,531,335,0.75,46,70
140011.1940477672,4876,6807,531,0,1,47,104
382.33428861929406,1804,1486,686,696,0.25,18,18
34099.24180800401,4146,3487,531,551,0.5,43,43
44016.00202751304,4261,5124,510,335,0.75,48,70
69874.2054812934,4386,6807,510,0,1,48,104
1259.8449877985927,1913,1486,686,696,0.25,18,18
-10416.090837689791,4735,3487,531,551,0.5,43,43
79208.87724629637,4642,5124,531,335,0.75,45,70
94409.64719729446,4677,6807,551,0,1,46,104
3993.9812188443984,2150,1486,686,696,0.25,18,18
8063.766711483425,4280,3487,531,551,0.5,43,43
24636.30520062798,4350,5124,531,335,0.75,47,70
13771.73286227449,4629,6807,531,0,1,48,104
316.38375441378776,1932,1486,696,696,0.25,18,18
12578.124073435172,4090,3487,570,551,0.5,43,43
15066.553860704764,4350,5124,551,335,0.75,48,70
18732.15768191128,4395,6807,551,0,1,47,104
-11.29171932780082,2206,1486,675,696,0.25,18,18
6862.343150001489,4033,3487,531,551,0.5,43,43
68740.02835975232,4972,5124,510,335,0.75,47,70
111462.87636193445,5020,6807,510,0,1,48,104
1773.8333016764932,2328,1486,675,696,0.25,18,18
39739.11693106226,4179,3487,551,551,0.5,43,43
101919.95160453815,4883,5124,531,335,0.75,47,70
173857.69062752885,4782,6807,531,0,1,46,104
-451.33527770030196,1965,1486,686,696,0.25,18,18
-1392.2525360720329,4116,3487,570,551,0.5,43,43
73242.81027567452,4479,5124,531,335,0.75,48,70
129953.46708339284,4409,6807,531,0,1,47,104
-2188.681745316409,2135,1486,686,696,0.25,18,18
-4831.361792590138,4748,3487,531,551,0.5,43,43
37532.585138947565,4884,5124,531,335,0.75,47,70
78493.11141600052,4980,6807,531,0,1,48,104
1504.6208892879013,1767,1486,696,696,0.25,18,18
20260.38769481077,4003,3487,551,551,0.5,43,43
145.6591203666885,4536,5124,551,335,0.75,49,70
30702.07319478057,4520,6807,551,0,1,50,104
575.1464388559866,1991,1486,686,696,0.25,18,18
-2870.3120148690978,3796,3487,570,551,0.5,43,43
49375.4009471209,4555,5124,551,335,0.75,49,70
15564.215304259536,4780,6807,551,0,1,50,104
-996.744648928312,2257,1486,675,696,0.25,18,18
5476.3009828973645,4260,3487,551,551,0.5,43,43
9838.363137898205,4585,5124,531,335,0.75,48,70
-25483.591103516912,4423,6807,551,0,1,46,104
-1245.9754322465978,1856,1486,686,696,0.25,18,18
-1681.798502697945,4101,3487,551,551,0.5,43,43
50604.08945412795,4176,5124,551,335,0.75,45,70
48424.6388317308,4245,6807,551,0,1,47,104
2701.580380039196,1627,1486,696,696,0.25,18,18
25045.887124667774,3987,3487,551,551,0.5,43,43
38369.033320939285,4096,5124,531,335,0.75,50,70
58302.95456621812,3964,6807,531,0,1,49,104
-2199.531532675,1869,1486,696,696,0.25,18,18
45094.21592020571,4226,3487,551,551,0.5,43,43
79612.54977668282,5025,5124,531,335,0.75,48,70
113442.83128653646,4967,6807,531,0,1,48,104
1327.5769715338893,2152,1486,675,696,0.25,18,18
11435.32896410374,4113,3487,510,551,0.5,43,43
54807.021018474035,4145,5124,488,335,0.75,46,70
46566.985164481935,4330,6807,488,0,1,47,104
5980.477133571396,2115,1486,675,696,0.25,18,18
11000.991583339159,3841,3487,531,551,0.5,43,43
34378.568430234096,3784,5124,510,335,0.75,44,70
42104.59106220795,3945,6807,510,0,1,48,104
-4575.735037409112,1693,1486,663,696,0.25,18,18
-91.50500381562415,4159,3487,551,551,0.5,43,43
95278.65237156051,4782,5124,488,335,0.75,48,70
128981.28423553461,4791,6807,488,0,1,48,104
1989.448233293398,1806,1486,675,696,0.25,18,18
26632.958830964388,4127,3487,510,551,0.5,43,43
145667.23621621178,4381,5124,488,335,0.75,46,70
158779.97123653017,4570,6807,488,0,1,49,104
4661.732454897697,1793,1486,686,696,0.25,18,18
11020.370910937396,4362,3487,510,551,0.5,43,43
76732.46771858734,4487,5124,488,335,0.75,47,70
106538.91053826985,4457,6807,531,0,1,47,104
-266.15135670299696,1940,1486,686,696,0.25,18,18
-3025.4606612069683,4111,3487,510,551,0.5,43,43
4891.502286401505,4219,5124,488,335,0.75,49,70
59536.84149311067,4312,6807,465,0,1,50,104
-4503.374034760104,1827,1486,686,696,0.25,18,18
-14723.469397533841,4088,3487,570,551,0.5,43,43
-16283.058971259446,4723,5124,531,335,0.75,48,70
31066.20375518041,4451,6807,531,0,1,48,104
1949.0236333945968,2059,1486,686,696,0.25,18,18
-8698.728008288126,4356,3487,551,551,0.5,43,43
6131.20191685898,4576,5124,531,335,0.75,48,70
21351.642375502503,4542,6807,531,0,1,48,104
4080.905762218981,2139,1486,686,696,0.25,18,18
32694.23037336911,4357,3487,551,551,0.5,43,43
83909.83092360075,4657,5124,510,335,0.75,47,70
108954.42904562403,4709,6807,510,0,1,47,104
1650.9728568977773,2092,1486,675,696,0.25,18,18
4001.524479712059,4523,3487,551,551,0.5,43,43
22199.245014949374,4782,5124,531,335,0.75,50,70
50692.81023507066,4693,6807,531,0,1,49,104
600.3706966515902,2137,1486,686,696,0.25,18,18
5951.0575820135955,4638,3487,531,551,0.5,43,43
56606.999809160196,4990,5124,510,335,0.75,47,70
101174.45539878518,5097,6807,531,0,1,49,104
-2826.050144351907,2316,1486,686,696,0.25,18,18
9575.024694371612,4785,3487,551,551,0.5,43,43
7359.10550918917,4770,5124,551,335,0.75,47,70
28050.84005647556,4920,6807,551,0,1,46,104
7163.474671155898,2086,1486,675,696,0.25,18,18
15758.021304958344,4088,3487,510,551,0.5,43,43
16002.937938351559,4523,5124,510,335,0.75,49,70
18203.261714782417,4455,6807,510,0,1,47,104
-1249.8658680364974,2049,1486,686,696,0.25,18,18
2029.247352057279,4226,3487,570,551,0.5,43,43
-1787.2433191543578,4542,5124,531,335,0.75,51,70
-10150.931335876832,4542,6807,531,0,1,50,104
2610.045661735497,1817,1486,696,696,0.25,18,18
-5887.506246210959,4063,3487,551,551,0.5,43,43
23442.421877751767,4632,5124,510,335,0.75,50,70
71969.47261332824,4597,6807,510,0,1,46,104
4959.070468486306,1912,1486,686,696,0.25,18,18
9980.142109092683,4394,3487,510,551,0.5,43,43
