sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-37.19732479691356,1850,1486,663,696,0.25,18,18
451.11843633630633,3505,3487,551,551,0.5,43,43
16652.99954706918,4952,5124,390,335,0.75,63,70
87995.82215137692,4949,6807,390,0,1,66,104
-474.7971375856059,1789,1486,696,696,0.25,18,18
25952.579401307048,3399,3487,551,551,0.5,43,43
-13694.008927088333,5067,5124,416,335,0.75,65,70
84045.07759202992,5295,6807,390,0,1,66,104
1615.4643192785943,1538,1486,686,696,0.25,18,18
9744.248849016578,3692,3487,551,551,0.5,43,43
85717.03226185504,4627,5124,390,335,0.75,64,70
123773.79537876602,4675,6807,390,0,1,65,104
4597.260173781688,2094,1486,675,696,0.25,18,18
98314.76841935434,3743,3487,531,551,0.5,43,43
189340.21895981804,5284,5124,363,335,0.75,63,70
174351.6648214998,5400,6807,363,0,1,66,104
-373.9945876906977,1888,1486,686,696,0.25,18,18
12387.788257002678,4044,3487,531,551,0.5,43,43
39891.46066298472,5236,5124,390,335,0.75,64,70
138424.34012932284,5172,6807,390,0,1,65,104
4617.345712715488,1721,1486,686,696,0.25,18,18
2717.4015759070344,3928,3487,570,551,0.5,43,43
62809.75329252942,5602,5124,390,335,0.75,66,70
97140.00624430642,5608,6807,390,0,1,65,104
3099.4155870001814,1624,1486,686,696,0.25,18,18
4549.291112023877,3719,3487,551,551,0.5,43,43
-7962.7671358138605,5649,5124,416,335,0.75,69,70
-6454.594300362518,5590,6807,390,0,1,69,104
-1394.7526488034987,1738,1486,686,696,0.25,18,18
19708.089527376218,3957,3487,551,551,0.5,43,43
40279.01692403171,5467,5124,390,335,0.75,65,70
71552.72912359386,5636,6807,390,0,1,67,104
10101.5562785484,1978,1486,686,696,0.25,18,18
8351.634033954322,3867,3487,551,551,0.5,43,43
14827.791228380847,5500,5124,390,335,0.75,65,70
59708.607586529724,5430,6807,390,0,1,65,104
2573.9492709218875,1733,1486,696,696,0.25,18,18
7566.68105328746,3915,3487,570,551,0.5,43,43
19886.932981556245,5551,5124,416,335,0.75,61,70
98205.95840037482,5541,6807,416,0,1,65,104
9738.484520210692,2043,1486,686,696,0.25,18,18
10973.402251876118,4024,3487,510,551,0.5,43,43
17863.039829638616,5465,5124,335,335,0.75,64,70
64064.187610131616,5666,6807,363,0,1,66,104
1264.354260691005,2030,1486,663,696,0.25,18,18
36527.21646386188,3678,3487,510,551,0.5,43,43
57987.79578383885,4758,5124,335,335,0.75,63,70
49861.72054260487,4863,6807,363,0,1,66,104
-2481.6974914607135,1911,1486,686,696,0.25,18,18
3208.317504659605,3820,3487,531,551,0.5,43,43
66639.55885978136,5268,5124,335,335,0.75,68,70
47731.54415915045,5631,6807,363,0,1,68,104
2323.7157078904925,1849,1486,686,696,0.25,18,18
27721.71663648604,3747,3487,551,551,0.5,43,43
75318.03603601415,5258,5124,335,335,0.75,65,70
127736.46245934052,4987,6807,363,0,1,64,104
2417.9556359381986,1898,1486,696,696,0.25,18,18
25603.413580650777,4350,3487,510,551,0.5,43,43
141533.78107386635,5646,5124,390,335,0.75,64,70
206448.0192149821,5660,6807,390,0,1,64,104
0.0,1882,1486,696,696,0.25,18,18
-1483.9104784593412,4027,3487,551,551,0.5,43,43
1314.655619139025,5619,5124,416,335,0.75,66,70
87038.41885747416,5590,6807,416,0,1,64,104
-3148.086076794208,1962,1486,696,696,0.25,18,18
2259.7959503741713,3956,3487,531,551,0.5,43,43
6076.824225238174,5662,5124,416,335,0.75,65,70
130317.59477236644,5655,6807,416,0,1,66,104
-53.322771247815126,1902,1486,686,696,0.25,18,18
76542.24273337137,3938,3487,510,551,0.5,43,43
86368.099709912,5802,5124,363,335,0.75,65,70
146260.8326468913,5743,6807,363,0,1,64,104
10900.6953609245,1636,1486,686,696,0.25,18,18
15167.887796338775,3704,3487,551,551,0.5,43,43
36248.25028112932,5145,5124,335,335,0.75,65,70
157911.46040192802,5134,6807,363,0,1,66,104
6576.721755053599,1939,1486,686,696,0.25,18,18
6024.737621449992,4151,3487,551,551,0.5,43,43
3114.6306861973235,5305,5124,416,335,0.75,62,70
50362.02084837722,5317,6807,416,0,1,64,104
20838.2385052133,1814,1486,686,696,0.25,18,18
32513.60607844949,3938,3487,531,551,0.5,43,43
18651.084665902836,5871,5124,335,335,0.75,66,70
-19051.027810208783,5951,6807,335,0,1,67,104
5794.887573987292,1643,1486,686,696,0.25,18,18
7870.660281316187,4014,3487,551,551,0.5,43,43
55064.34226247856,5333,5124,363,335,0.75,65,70
142898.35807991546,5589,6807,363,0,1,66,104
10192.933619939507,2170,1486,686,696,0.25,18,18
28005.219914102956,4312,3487,510,551,0.5,43,43
-3809.6665784535126,5446,5124,363,335,0.75,63,70
4679.787250842986,5677,6807,363,0,1,65,104
-731.8301498530204,1664,1486,686,696,0.25,18,18
3847.889990650844,3621,3487,551,551,0.5,43,43
24537.749425667444,5081,5124,416,335,0.75,64,70
54527.1150787824,5307,6807,416,0,1,66,104
1649.8622580877995,1809,1486,696,696,0.25,18,18
2085.851464235863,4332,3487,551,551,0.5,43,43
