sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-3766.2812376682086,1446,1486,696,696,0.25,18,18
-7294.9953700104625,3590,3487,570,551,0.5,43,43
1451.9373120556838,5197,5124,306,335,0.75,70,70
4797.649481778911,6791,6807,0,0,1,103,104
2171.4380952893953,1538,1486,686,696,0.25,18,18
1018.3410842722978,3556,3487,551,551,0.5,43,43
8888.94946365196,5306,5124,306,335,0.75,70,70
31357.622233274924,6913,6807,0,0,1,102,104
2171.4380952893953,1538,1486,686,696,0.25,18,18
9146.557604049995,3474,3487,531,551,0.5,43,43
47657.514252894514,5033,5124,335,335,0.75,70,70
-6390.743053766075,6759,6807,0,0,1,104,104
6033.95044214341,1618,1486,686,696,0.25,18,18
19458.572593298595,3409,3487,531,551,0.5,43,43
34726.08445285882,5046,5124,306,335,0.75,70,70
32171.491014278407,6854,6807,0,0,1,102,104
6441.376877997402,1613,1486,696,696,0.25,18,18
36046.89699505182,3605,3487,551,551,0.5,43,43
23884.70829674973,5396,5124,306,335,0.75,70,70
438.5114553495323,7005,6807,0,0,1,103,104
3320.638490436604,1648,1486,686,696,0.25,18,18
40590.791675726075,3570,3487,551,551,0.5,43,43
4030.8433152663893,5029,5124,335,335,0.75,70,70
-16044.641985624394,6850,6807,0,0,1,104,104
1241.3167994626,1464,1486,686,696,0.25,18,18
422.6370050803671,3390,3487,551,551,0.5,43,43
-5219.435236222439,5177,5124,335,335,0.75,70,70
-15073.467840786558,6782,6807,0,0,1,102,104
797.1051775742949,1535,1486,696,696,0.25,18,18
13062.2447144702,3619,3487,551,551,0.5,43,43
22002.469331935303,5132,5124,276,335,0.75,70,70
-16691.94458481796,6852,6807,0,0,1,103,104
2528.6213847790787,1528,1486,696,696,0.25,18,18
-115.41246236354982,3378,3487,551,551,0.5,43,43
8002.582940557615,5099,5124,306,335,0.75,70,70
30068.644529186346,6761,6807,0,0,1,102,104
3553.7211529422057,1540,1486,696,696,0.25,18,18
19392.294118871534,3775,3487,551,551,0.5,43,43
98297.74153574984,5348,5124,306,335,0.75,70,70
152220.21259842018,6982,6807,0,0,1,102,104
2171.4380952893953,1538,1486,686,696,0.25,18,18
-285.37060158700933,3595,3487,551,551,0.5,43,43
8065.073798546609,5311,5124,335,335,0.75,70,70
85583.36264767732,6933,6807,0,0,1,102,104
7230.599288559399,1509,1486,686,696,0.25,18,18
4415.870012622276,3470,3487,531,551,0.5,43,43
-5956.203942634201,5137,5124,335,335,0.75,70,70
-51744.517766088655,6828,6807,0,0,1,103,104
2138.245836617497,1643,1486,696,696,0.25,18,18
21505.206588289002,3738,3487,551,551,0.5,43,43
59853.40831672536,5328,5124,276,335,0.75,70,70
143507.2841864805,6879,6807,0,0,1,102,104
-5080.107636330929,1655,1486,696,696,0.25,18,18
3636.3446391219636,3421,3487,551,551,0.5,43,43
6591.963433927271,4998,5124,306,335,0.75,70,70
-5897.778711196775,6655,6807,0,0,1,101,104
1335.6240939814907,1507,1486,696,696,0.25,18,18
27546.40593129913,3483,3487,551,551,0.5,43,43
15533.82241589595,5155,5124,306,335,0.75,70,70
31399.89824718402,6875,6807,0,0,1,104,104
403.1573435552932,1506,1486,696,696,0.25,18,18
43091.62108747967,3593,3487,531,551,0.5,43,43
-25360.5880676337,5220,5124,306,335,0.75,70,70
45508.31897344888,6801,6807,0,0,1,101,104
-482.9047779613056,1573,1486,696,696,0.25,18,18
-14544.968157263742,3576,3487,551,551,0.5,43,43
-4807.6768565546245,5070,5124,306,335,0.75,70,70
-14697.142446393013,6857,6807,0,0,1,103,104
4889.816088914406,1508,1486,686,696,0.25,18,18
55146.38203878702,3270,3487,531,551,0.5,43,43
13534.452430057589,5186,5124,306,335,0.75,70,70
26579.471049298016,6922,6807,0,0,1,103,104
-365.99810564360087,1651,1486,686,696,0.25,18,18
15144.110263022716,3609,3487,531,551,0.5,43,43
29727.589098357443,5215,5124,335,335,0.75,70,70
75470.3887648408,7014,6807,0,0,1,104,104
1728.7127196802994,1535,1486,686,696,0.25,18,18
12385.071447771741,3599,3487,531,551,0.5,43,43
6502.169232718969,5253,5124,306,335,0.75,70,70
20721.093804555458,6713,6807,38,0,1,101,104
-2767.6932098663974,1479,1486,696,696,0.25,18,18
20917.429099190915,3524,3487,551,551,0.5,43,43
109693.44218625432,5227,5124,276,335,0.75,70,70
169772.90966757337,6962,6807,0,0,1,103,104
4889.816088914406,1508,1486,686,696,0.25,18,18
16707.663638305094,3525,3487,531,551,0.5,43,43
-7582.575960218835,5284,5124,306,335,0.75,70,70
12380.287331879606,6892,6807,0,0,1,102,104
0.0,1478,1486,696,696,0.25,18,18
-3091.6272901185225,3547,3487,570,551,0.5,43,43
69336.65503511333,5055,5124,335,335,0.75,70,70
19183.18994656267,6707,6807,0,0,1,103,104
4889.816088914406,1508,1486,686,696,0.25,18,18
3267.057759111993,3539,3487,551,551,0.5,43,43
12731.68474768198,5235,5124,335,335,0.75,70,70
137735.5290437923,6747,6807,0,0,1,102,104
-1136.2077415676004,1519,1486,696,696,0.25,18,18
805.6423811347931,3541,3487,551,551,0.5,43,43
26967.340115452214,5245,5124,306,335,0.75,70,70
93815.78614764955,6641,6807,0,0,1,101,104
6033.95044214341,1620,1486,686,696,0.25,18,18
12867.004537510093,3823,3487,551,551,0.5,43,43
119000.00431546764,5225,5124,276,335,0.75,70,70
17884.131064903842,6796,6807,0,0,1,101,104
4889.816088914406,1508,1486,686,696,0.25,18,18
3672.9351040934816,3434,3487,531,551,0.5,43,43
-15234.554746110127,5110,5124,335,335,0.75,70,70
11051.583674526306,6497,6807,0,0,1,103,104
5744.683302449988,1607,1486,696,696,0.25,18,18
34357.3323733695,3912,3487,551,551,0.5,43,43
9880.547549999688,5432,5124,335,335,0.75,70,70
45398.767010267184,6968,6807,0,0,1,103,104
-1091.1600332629068,1502,1486,696,696,0.25,18,18
27481.729010205818,3521,3487,531,551,0.5,43,43
19546.715017097893,5210,5124,306,335,0.75,70,70
32841.2129776628,6686,6807,0,0,1,103,104
4889.816088914406,1508,1486,686,696,0.25,18,18
-1643.456908453919,3461,3487,551,551,0.5,43,43
42945.24191201469,5308,5124,306,335,0.75,70,70
-15221.888676659675,7003,6807,0,0,1,104,104
1241.3167994626,1464,1486,686,696,0.25,18,18
3068.885791471487,3587,3487,551,551,0.5,43,43
4803.803273644288,5255,5124,306,335,0.75,70,70
-37444.88311385419,6923,6807,0,0,1,103,104
-2939.1637384798137,1514,1486,696,696,0.25,18,18
2898.030042945368,3459,3487,531,551,0.5,43,43
-10792.034291157011,5447,5124,306,335,0.75,70,70
72302.52250747754,6713,6807,0,0,1,103,104
-1136.2077415676004,1521,1486,696,696,0.25,18,18
31142.798925672738,3546,3487,531,551,0.5,43,43
63465.365250350806,5132,5124,306,335,0.75,70,70
33312.54519085893,6733,6807,0,0,1,102,104
2171.4380952893953,1538,1486,686,696,0.25,18,18
24014.364694293166,3609,3487,531,551,0.5,43,43
5651.328152918798,5083,5124,306,335,0.75,70,70
69188.12743405804,6727,6807,0,0,1,102,104
5525.553292942297,1600,1486,686,696,0.25,18,18
58083.491795194874,3650,3487,531,551,0.5,43,43
40352.40297533218,5351,5124,306,335,0.75,70,70
63443.568301732405,6957,6807,0,0,1,103,104
3874.9710216998023,1601,1486,696,696,0.25,18,18
10332.032845353475,3829,3487,551,551,0.5,43,43
59141.01971203854,5370,5124,306,335,0.75,70,70
13938.089755763665,7164,6807,0,0,1,103,104
4889.816088914406,1508,1486,686,696,0.25,18,18
-15471.125015609457,3494,3487,551,551,0.5,43,43
616.5621902048169,5199,5124,335,335,0.75,70,70
-5612.850821747855,6781,6807,0,0,1,101,104
-2939.1637384798137,1563,1486,696,696,0.25,18,18
7328.586134590062,3612,3487,531,551,0.5,43,43
-23123.487602149035,5522,5124,335,335,0.75,70,70
-42829.0683351489,7208,6807,0,0,1,103,104
9087.704785831804,1560,1486,686,696,0.25,18,18
-4132.445542590749,3622,3487,551,551,0.5,43,43
-7543.126715640771,5167,5124,276,335,0.75,70,70
20738.13252837182,6546,6807,0,0,1,102,104
-3152.0928627674066,1468,1486,696,696,0.25,18,18
19224.409777604138,3464,3487,531,551,0.5,43,43
59595.0521753999,5117,5124,306,335,0.75,70,70
62120.57126993396,6813,6807,0,0,1,102,104
3596.7091052184883,1519,1486,686,696,0.25,18,18
17687.65435207854,3472,3487,551,551,0.5,43,43
9342.762761294733,5148,5124,335,335,0.75,70,70
35855.84897105408,6685,6807,0,0,1,102,104
0.0,1486,1486,696,696,0.25,18,18
-5001.202458422745,3466,3487,551,551,0.5,43,43
20290.132238458933,5248,5124,306,335,0.75,70,70
-27869.297081739445,6706,6807,0,0,1,102,104
6441.376877997402,1613,1486,696,696,0.25,18,18
14522.713022089236,3593,3487,551,551,0.5,43,43
18213.10976550241,5323,5124,335,335,0.75,70,70
3731.41893285077,7073,6807,0,0,1,103,104
-5550.3703194931295,1750,1486,696,696,0.25,18,18
7007.078815487943,3784,3487,551,551,0.5,43,43
71790.71485938183,5176,5124,276,335,0.75,70,70
78639.88488071792,7018,6807,0,0,1,103,104
217.01449697839485,1545,1486,696,696,0.25,18,18
-3054.7752166676273,3662,3487,551,551,0.5,43,43
