sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
29022.740656668364,3007,2562,621,623,0.25,26,26
-390263.7437586773,4088,4458,510,174,0.5,52,52
177415.2003472837,4005,5856,510,0,0.75,78,78
56706.84715857454,4545,6807,531,0,1,97,104
-2533.3178865855552,2677,2721,588,594,0.25,26,26
-734089.5884324724,4477,4255,531,38,0.5,52,52
-29777.225317981018,4800,5734,531,0,0.75,77,78
61205.86748004773,4831,6807,531,0,1,96,104
27121.666291154455,3209,2556,551,554,0.25,26,26
-375208.682440117,3918,4601,551,38,0.5,52,52
-6660.748121763088,4047,5772,510,0,0.75,78,78
-1176.2520811593395,4835,6807,510,0,1,97,104
54651.944371733865,2948,2744,570,658,0.25,26,26
-800467.8840548069,4184,4725,488,38,0.5,52,52
-77013.03942966001,4421,5779,510,0,0.75,77,78
113320.89740905569,4444,6807,488,0,1,96,104
61237.92893081096,2898,2469,510,621,0.25,26,26
-466600.9764198153,3767,4310,488,0,0.5,52,52
52477.1828678007,4032,5692,441,0,0.75,75,78
371052.841382871,3864,6807,441,0,1,94,104
-57345.97892860183,2857,2870,570,484,0.25,26,26
-651783.5874847523,3506,4489,531,38,0.5,52,52
-60885.77270731892,3932,5825,531,0,0.75,77,78
54596.88703606567,3987,6807,531,0,1,96,104
39362.45085739097,2414,2818,588,496,0.25,26,26
-168215.93272675193,3653,4512,510,0,0.5,52,52
-186908.91693377524,4253,5707,488,0,0.75,78,78
118111.76167050164,4358,6807,510,0,1,97,104
26752.078688729984,2379,2675,647,574,0.25,26,26
-492385.99609228387,3607,4739,551,38,0.5,52,52
43161.32221080545,4165,5770,551,0,0.75,77,78
50614.65844931447,4294,6807,551,0,1,96,104
10112.85309812141,2428,2460,644,640,0.25,26,26
-75789.10418363145,3907,4469,531,38,0.5,52,52
96565.15925218658,4201,5955,531,0,0.75,78,78
155452.2916446045,4593,6807,531,0,1,98,104
-22644.96455948279,2421,2893,621,588,0.25,26,26
-298588.49536704633,3444,4692,588,0,0.5,52,52
43211.57825285364,3818,5957,551,0,0.75,78,78
29525.293005267424,4222,6807,551,0,1,97,104
136322.49469540213,2270,2475,620,641,0.25,26,26
-182334.2870715791,4021,4293,510,0,0.5,52,52
124045.40596980747,4272,6153,510,0,0.75,75,78
185510.81843428774,4209,6807,510,0,1,94,104
60337.540561265756,2445,2531,588,579,0.25,26,26
-388324.1903244903,3488,4221,510,111,0.5,52,52
-132616.47673952152,4487,6021,510,0,0.75,77,78
75344.71757956478,4670,6807,510,0,1,96,104
6598.029139613823,3141,2739,604,538,0.25,26,26
-250611.40674664345,3845,4239,570,75,0.5,52,52
-36317.80360539073,4323,5976,531,0,0.75,77,78
14166.976155904818,4615,6807,510,0,1,96,104
29803.872060988848,2913,2508,551,608,0.25,26,26
-162560.40785515466,3865,4365,551,75,0.5,52,52
-8872.515078111752,4546,5921,510,0,0.75,78,78
143416.63890093437,4396,6807,531,0,1,97,104
83740.31340812967,2794,2558,570,647,0.25,26,26
65685.26379962525,3966,4659,531,75,0.5,52,52
26227.694334843323,4400,5860,510,0,0.75,77,78
80302.75654804421,4410,6807,510,0,1,96,104
111977.72353430348,2870,2428,588,642,0.25,26,26
-54738.20753219141,3911,4371,510,38,0.5,52,52
-68294.94306053463,4244,5615,531,0,0.75,77,78
