sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-105567.89077129528,2708,2845,510,590,0.25,26,26
-504093.4073435851,3995,4672,390,74,0.5,52,52
-145981.5428399027,4870,5704,390,0,0.75,78,78
10115.540891276432,4939,6807,441,0,1,97,104
164275.296091974,3124,2764,441,499,0.25,26,26
-242744.01751483342,4411,4260,390,38,0.5,52,52
-203563.92626144108,4636,5750,390,0,0.75,78,78
46682.81035118111,4951,6807,390,0,1,99,104
31819.39591004898,2965,2455,530,632,0.25,26,26
-953834.8708890645,4389,4156,441,145,0.5,52,52
2284.329645394588,4906,5609,363,0,0.75,78,78
213497.37799974423,5564,6807,363,0,1,100,104
72418.72766329223,2969,2627,510,635,0.25,26,26
-332649.54152321455,3931,4441,465,146,0.5,52,52
-9545.92168095031,4800,6039,416,0,0.75,78,78
119878.05474653907,4891,6807,390,0,1,97,104
-111462.65318967594,3120,2765,441,476,0.25,26,26
-620985.9667393937,4021,4458,416,0,0.5,52,52
-36974.40141721466,5005,5856,390,0,0.75,78,78
97459.1695296569,4855,6807,390,0,1,98,104
71675.99801800205,3209,2644,541,607,0.25,26,26
78487.26673950916,3970,4366,416,38,0.5,52,52
33246.19834721608,4802,5758,390,0,0.75,78,78
237105.94901961155,4957,6807,390,0,1,100,104
92239.34665295343,2991,2739,531,642,0.25,26,26
-691877.4936549234,4189,4239,441,0,0.5,52,52
-82894.75744717056,4636,5461,390,0,0.75,78,78
135973.07431748539,5242,6807,363,0,1,97,104
76950.20199069116,2967,2867,531,613,0.25,26,26
-1132875.6485407406,4221,4369,390,38,0.5,52,52
156309.63456422003,5011,6004,363,0,0.75,78,78
147643.28945091905,5260,6807,363,0,1,99,104
13312.37656967635,3203,2639,530,608,0.25,26,26
-856467.709559379,4391,4229,416,0,0.5,52,52
-131399.71924408915,5350,5615,363,0,0.75,78,78
216300.624193106,5272,6807,363,0,1,100,104
124914.77121030007,3170,2837,441,640,0.25,26,26
-1149240.6411211349,4513,4069,390,110,0.5,52,52
276555.1624049121,4967,5759,416,0,0.75,78,78
327204.5781352279,5264,6807,390,0,1,99,104
161518.55642788112,2754,2362,441,617,0.25,26,26
-842609.6642510908,4099,4300,441,38,0.5,52,52
-70819.5631610049,4824,5763,390,0,0.75,78,78
165661.06442288548,5075,6807,390,0,1,98,104
101704.98104254759,2963,2531,488,645,0.25,26,26
-262719.24764386506,3521,4401,485,38,0.5,52,52
-121363.65436795933,5029,5858,390,0,0.75,78,78
424948.0188197852,5270,6807,363,0,1,100,104
-21988.75623299453,2621,2755,567,554,0.25,26,26
