sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
63205.209533042194,2709,2423,415,635,0.25,26,26
-602513.4644080234,4478,4683,213,38,0.5,52,52
-248892.96838082367,5672,5712,146,0,0.75,78,78
2430.3990350649174,6497,6807,111,0,1,102,104
45188.01725473452,2697,2439,602,683,0.25,26,26
-1392241.9373130954,4570,4145,275,38,0.5,52,52
172673.9218148332,5404,5980,146,0,0.75,78,78
26633.598739426296,6477,6807,146,0,1,102,104
-25057.2980936853,2659,2787,643,651,0.25,26,26
-1571160.3125764723,4374,4683,212,0,0.5,52,52
-70763.24599553813,5769,5831,111,0,0.75,78,78
-33393.99367393651,6316,6807,180,0,1,101,104
16506.19758123368,2610,2469,538,600,0.25,26,26
126456.20928577165,3849,4692,245,0,0.5,52,52
7251.095280494682,5538,5708,146,0,0.75,78,78
-46253.97289826892,6420,6807,146,0,1,102,104
-22692.533160981642,2589,2260,540,662,0.25,26,26
-601293.2293368822,4436,4443,146,230,0.5,52,52
-302571.6488038528,5991,5771,111,0,0.75,78,78
26676.17583489789,6508,6807,75,0,1,104,104
6550.479292301473,2950,2684,478,542,0.25,26,26
-7149.49193633469,4565,4376,213,38,0.5,52,52
-233240.94374524953,5682,5918,146,0,0.75,78,78
47102.13954645037,6454,6807,145,0,1,103,104
66854.50353109732,2871,2516,437,636,0.25,26,26
-554679.0573551048,4539,4706,213,0,0.5,52,52
-263006.7936405212,5533,5796,146,0,0.75,78,78
39900.358958190576,6500,6807,75,0,1,103,104
-13979.215235319458,2942,2445,565,523,0.25,26,26
-1514631.8390340987,4314,4375,111,0,0.5,52,52
-289325.523190043,5657,5533,111,0,0.75,78,78
37114.15304936199,6465,6807,111,0,1,102,104
-8485.474841144991,2309,2761,665,666,0.25,26,26
-116704.3713069521,4773,4461,213,38,0.5,52,52
-330332.1804153664,5724,5745,180,0,0.75,78,78
5844.462725202367,6584,6807,146,0,1,104,104
-25421.21516930469,2308,2604,662,587,0.25,26,26
-664622.3329908585,4345,4560,180,38,0.5,52,52
-173878.5720799814,5168,5794,213,0,0.75,78,78
65194.26793203443,6003,6807,111,0,1,103,104
9151.67780526002,2367,2543,625,580,0.25,26,26
-6714.119685945277,4902,4392,111,75,0.5,52,52
8724.684064288434,5939,5883,111,0,0.75,78,78
163342.19315061523,6601,6807,38,0,1,102,104
44313.98326281399,2724,2699,630,574,0.25,26,26
-675979.5102214561,3913,4376,213,38,0.5,52,52
255048.72738982632,5126,5723,146,0,0.75,78,78
115846.46526143681,6401,6807,111,0,1,103,104
-36984.06380327688,2404,2782,623,578,0.25,26,26
-1028664.7869885984,4595,4811,111,0,0.5,52,52
-134169.78939963036,5551,5694,146,0,0.75,78,78
52899.40484134544,6313,6807,111,0,1,104,104
25401.07714435472,2547,3025,545,608,0.25,26,26
-608665.366559242,4617,4348,180,38,0.5,52,52
-7973.150069936608,5775,5864,180,0,0.75,78,78
22776.324242899515,6352,6807,146,0,1,102,104
5402.115149740732,2626,2935,546,477,0.25,26,26
-290389.94563253125,4546,4455,213,110,0.5,52,52
-205780.08198717362,5312,5820,213,0,0.75,78,78
-87961.19519944696,6181,6807,213,0,1,102,104
-4682.9327916442635,2738,2658,629,535,0.25,26,26
-1268878.865786944,4523,4364,213,111,0.5,52,52
-210256.87046724267,5643,5801,180,0,0.75,78,78
79820.57533348392,6315,6807,111,0,1,102,104
124812.00380418026,2736,2479,543,504,0.25,26,26
-480222.40100452624,4528,4679,180,111,0.5,52,52
-329512.90979486686,5439,5894,146,0,0.75,78,78
-37455.53540811359,6164,6807,213,0,1,103,104
-3857.2471368015963,2352,2272,690,580,0.25,26,26
-671045.8371975095,4517,4520,111,0,0.5,52,52
131916.63072754105,5504,5886,111,0,0.75,78,78
