sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-5731.108853009708,2691,2869,646,601,0.25,26,26
1429767.8345189267,4310,4698,0,38,0.5,52,52
81212.45238811223,5518,5627,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
68276.1911031888,2701,2463,547,611,0.25,26,26
608127.1676843988,4209,4460,140,38,0.5,52,52
63023.187622393365,5664,6003,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-34904.42881916074,2672,2787,611,514,0.25,26,26
282547.46806713095,4647,4685,143,0,0.5,52,52
145082.56845453152,5569,5760,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-5448.553454591966,2554,2675,580,584,0.25,26,26
-799350.8348448552,4570,4446,38,0,0.5,52,52
-285985.86171720736,5820,5854,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-19749.193102469602,2535,2856,589,680,0.25,26,26
781696.688969172,4452,4510,38,75,0.5,52,52
43682.9141552472,5633,5814,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-13746.96438565477,2611,2481,602,567,0.25,26,26
-526081.0487198724,4629,4210,0,74,0.5,52,52
-464046.4857567706,5748,5787,38,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-3302.098550812204,2656,2781,634,639,0.25,26,26
190788.75738252865,4415,4638,38,111,0.5,52,52
-254442.90791058252,5792,5793,38,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-3215.8768312790908,2715,2741,637,567,0.25,26,26
-26515.260075955997,4325,4424,38,0,0.5,52,52
239570.52049897937,5808,5892,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-33138.16834035771,2818,2843,593,615,0.25,26,26
1137893.012217802,4642,4642,0,0,0.5,52,52
115485.92225754539,5730,5866,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-14678.150937349463,2517,2653,616,611,0.25,26,26
-19825.76839608576,4867,4349,75,75,0.5,52,52
-168497.40053828963,5838,5707,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
65888.31513161163,2546,3078,629,645,0.25,26,26
-221569.7835701074,4437,4420,111,38,0.5,52,52
