sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_points,bikengrowth_disconnected_points
-613371.5680018411,17679,21466,6750,1768
256221.09134775982,15980,21466,6325,1768
-51652.35924756936,15547,21466,6583,1768
-287107.0888327459,18194,21466,6583,1768
-384854.5038791702,16289,21466,6498,1768
-709040.3107359317,18300,21466,6237,1768
-973868.5729528696,17596,21466,6498,1768
-593950.6948201525,17123,21466,6583,1768
-243587.09223855147,16992,21466,6583,1768
451861.8969957223,16855,21466,6237,1768
-1044772.9350026778,17102,21466,6412,1768
-884986.8964351612,16495,21466,6667,1768
-1173468.380155007,16232,21466,5967,1768
836727.6884125113,17256,21466,6993,1768
-1333991.7570689488,17215,21466,6237,1768
-1009343.477995185,18784,21466,6325,1768
147930.28362056482,17662,21466,6058,1768
-1217363.8672839722,17762,21466,6058,1768
-264426.36158905487,17119,21466,6667,1768
-1011133.9611841309,17212,21466,6412,1768
-655055.3382144695,17370,21466,6412,1768
-262963.8244759565,17244,21466,6148,1768
321689.1252287267,16786,21466,6832,1768
-861677.6209584828,16989,21466,6667,1768
-1041487.8603270707,17004,21466,6325,1768
-21239.48064213487,18098,21466,6667,1768
-293122.9179157562,16797,21466,6498,1768
-749547.5482134047,16172,21466,6412,1768
-1274897.2499609299,17798,21466,5875,1768
-557834.9989000043,15855,21466,5875,1768
-151320.20215597367,16921,21466,6498,1768
122588.66204257766,18026,21466,6667,1768
-614936.5776217397,16060,21466,6412,1768
-1424852.5043852793,17543,21466,6667,1768
689429.4171051687,15846,21466,6913,1768
-671217.8355999255,17568,21466,6148,1768
-669963.0869032682,16880,21466,6498,1768
-1550246.2429280907,16678,21466,6325,1768
-2147217.8479682016,16486,21466,5782,1768
287981.0219224353,17569,21466,6148,1768
409297.6719241458,17052,21466,6832,1768
-1679512.91948622,17257,21466,6498,1768
838763.8158333139,17801,21466,6412,1768
54212.17178385836,16519,21466,6412,1768
-1171658.32317108,17509,21466,6667,1768
495176.4010609446,17685,21466,6583,1768
-1475054.4995984002,17513,21466,6583,1768
-589720.0437697051,17221,21466,6498,1768
-711610.8205454908,17896,21466,6411,1768
-1064322.6015486075,16937,21466,6667,1768
-1688414.0970290466,17517,21466,5875,1768
-478388.94965444016,16783,21466,6325,1768
-485849.7849961118,16852,21466,6148,1768
232472.48986744863,16629,21466,6412,1768
-1587766.9649925362,17785,21466,6148,1768
-283327.5799025099,18680,21466,6325,1768
-1732322.2470493054,17690,21466,6058,1768
-1137636.0702065064,16828,21466,6583,1768
-439503.6415020963,17089,21466,6237,1768
145759.62522841894,16614,21466,6412,1768
449444.63971889886,16636,21466,6667,1768
-666634.3180418294,17432,21466,6583,1768
-227117.09035318327,17664,21466,6583,1768
-79465.53475760293,17383,21466,6583,1768
-749502.5770693666,16618,21466,6237,1768
341948.14095415414,17617,21466,6325,1768
468400.0386255947,17437,21466,6325,1768
-961807.6179537944,17312,21466,6148,1768
26641.47504782222,16829,21466,6832,1768
956357.6579732258,16369,21466,6583,1768
-730734.506126378,17492,21466,6667,1768
-2686559.806219249,16905,21466,6058,1768
-2048000.2382691023,17400,21466,6412,1768
-77672.70983978624,17860,21466,6325,1768
277641.6348848581,18259,21466,6058,1768
-890770.016989043,16527,21466,7072,1768
-203374.0427229054,16409,21466,6583,1768
-407387.45966386184,16603,21466,6750,1768
-632716.6621630223,16404,21466,6498,1768
29806.77322918101,17119,21466,6667,1768
-531430.6323326302,17651,21466,6237,1768
-196300.05132914096,16933,21466,6412,1768
301102.8269249606,18058,21466,6148,1768
-1129952.3684238007,16990,21466,6498,1768
-735732.4613883956,17268,21466,6412,1768
487082.3144129519,16929,21466,6498,1768
875390.546613185,16582,21466,6058,1768
-319342.2309613486,16975,21466,6058,1768
-885344.3898183721,17546,21466,6583,1768
342043.1400118843,15817,21466,6750,1768
-812688.4631542454,17922,21466,6325,1768
-203034.13359632052,17989,21466,5967,1768
-1294431.3960069092,16748,21466,6237,1768
-1011398.6359105778,17713,21466,6412,1768
-1510268.607148967,16559,21466,6237,1768
-261675.8771098088,16912,21466,6667,1768
-74178.20986186728,17899,21466,6832,1768
-1045587.3505964753,16641,21466,6325,1768
-485616.5846440413,18882,21466,5967,1768
-681652.8453704913,16628,21466,6667,1768
