sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_points,bikengrowth_disconnected_points
-5388715.8398926025,18572,22520,6749,562
-3654275.00812954,18007,22898,6058,973
-1857974.0976352792,18902,23167,6237,561
9386596.144805005,18020,23618,6412,423
-2405651.366774257,17467,22817,6497,283
3740075.9596095085,17505,22494,5875,423
-857879.1736639868,17014,23415,6058,562
13285040.230751991,17959,22366,6325,562
-1986594.6699239612,16987,23415,6237,1107
473488.11146811646,17768,22773,6058,283
-194032.8950466335,19362,23440,6058,283
1522714.3756474939,16725,23615,6582,562
531341.2276126749,18839,23488,5782,562
3752492.130697525,16210,23067,6324,562
-4949904.754325471,18629,23708,5782,837
8695203.788174227,19790,22482,6147,700
-1892300.453980682,17674,22560,6325,970
1861788.6059393338,17834,22953,6323,562
-465542.1026630079,17359,22573,6325,283
-4365218.92114483,17252,23206,6325,283
-10427307.70928829,17665,23754,6412,562
-3365077.794987725,18427,22267,5593,561
-1150089.1780158267,19443,22031,6325,699
2393183.9817132885,17335,23239,6237,423
-6703332.258338689,16062,22693,6237,562
3004807.194257631,17304,22613,6148,423
-10840976.464392953,16525,23578,6058,836
6787650.409204768,18081,23782,6237,142
-786313.71247579,16865,23172,6148,283
6382737.219561235,17884,22630,6234,283
-1577333.7741554943,17457,22539,6583,562
3288792.4813058795,18285,23226,6148,700
7683821.757794578,17369,22700,6237,561
-2488212.046253536,17505,22654,6412,562
2188575.192360669,17188,22830,6237,423
-4552480.965717884,16823,23044,6412,700
-3959782.7001326433,17550,22880,6735,562
-2865665.66697879,17748,22709,6148,837
6319737.686028675,17420,23584,6148,0
-1226614.483244494,16135,22829,5875,562
5429735.227565769,18064,23844,5875,423
7713810.5451645795,18276,21832,6148,283
4516237.507220935,17433,22778,6058,0
-967886.3041716878,18535,22423,6583,700
2674570.168048348,17341,22484,5967,283
-112359.27853598581,17472,22107,6325,972
-5832261.279551284,17892,23483,6142,700
4211737.454006333,17294,22222,5875,561
-5744529.667662674,17090,23737,6148,562
-15411340.523319703,18040,22933,5967,700
261608.15168749954,17414,22355,5967,423
6183812.209658051,18084,22837,6237,423
2330646.9057954964,17874,23619,6058,562
3081867.3906081086,17741,23112,6237,562
305726.9244787765,18552,23093,6325,283
2838372.7111177146,18000,23214,5967,562
1430622.779733991,19051,23665,5875,837
-5523580.255501369,16766,23067,6148,562
5925841.045519019,18468,23723,6583,283
-5335414.985799307,16217,22557,6583,562
-7365070.047371638,16981,22994,6325,562
11553839.641198164,18090,23191,6412,559
-421307.1087467263,17773,22920,6058,698
-22981488.189724598,17528,23058,6412,423
3442593.5374743515,17720,23541,5875,142
-9874219.5163251,17030,23326,6325,972
5721323.854226977,17212,22526,6322,699
-1055849.7047304786,19014,22297,6144,700
4198747.47556497,17842,22555,6058,283
2148132.461155324,18489,23314,6234,562
-11110189.351867488,17670,23125,6325,142
1952992.051168025,17401,23058,6058,837
-2590242.706927414,18474,23993,6148,283
350580.27533715486,17193,22872,6237,283
-2411548.0905842115,17509,22751,5875,423
-464334.0830603819,18413,23057,6148,837
-643782.8117654421,17891,21951,5967,1242
-5341145.619722937,18189,22748,6058,283
3184396.115463795,17387,22501,6237,422
-3151246.480954816,17261,24019,5967,282
-2688209.230052375,17922,23379,6237,1236
-4425052.577110006,18372,23669,6412,562
5349770.801158477,18163,23755,6325,283
-2819241.416980772,17949,22280,6148,836
1553587.229847307,17333,21945,6058,699
-12161015.926223993,16641,23998,6412,562
4151000.842476521,17021,23609,6148,142
4433998.9617072875,17222,23320,6237,283
-4893137.369832876,18089,24130,6237,700
3656960.7870184286,18257,23622,6058,700
-2545115.24603617,18525,22721,6148,142
2713175.5999120907,16359,22752,6325,562
1538979.2705828252,17558,23154,6237,561
4076492.788687009,17766,20924,6148,1753
-5288337.070152232,17215,22601,5688,562
-2909738.746922409,17474,23197,6237,562
-22929676.140380193,16257,24031,6234,837
3675023.03726372,18914,23675,6667,973
-2741877.926800459,17006,21704,6148,837
-2530136.279739824,18245,22959,6148,562
